,EQUIPMENT_DESC,Count
357,L2 ALLIANCE-CCF201 PACKER DISCHARGE,14
358,AMMONIA RESPIRATORS - ALL,14
359,SWTCHGR_PANEL_IO_MAIN_CONTROL,14
360,LINE #3 BULK CAP HOPPER,14
361,L2 ALLIANCE-CCF202 PACKER DISCHARGE #2,14
362,CASE CONVEYOR (CC1),14
363,L3 HT_EXCH_SHELLTB_1,14
364,BOILR_FRTB_CIP_2,14
365,L10 CONV_FULL CAN_MASS CONVEYOR,14
366,SELLERS BOILER #2,14
367,L2 INTELITEK - M9 BRAKE BELT,13
368,L1 WEST FILTEC,13
369,CONV_MT_FULL_BTL_L3FBC1700,13
370,CONV_MT_WARMER_DISCHRG,13
371,ALLIANCE - DOWN CAN TRANSFER CONVEYOR,13
372,FILLER ACCUMULATION TABLE,12
373,CARBON TOWER #1 - EAST,12
374,L2 SONIC AIR KNIFE - EAST,12
375,L1 CODER RIVERWOOD (NORTH),12
376,NORTH NATURAL GAS COMPRESSOR,12
377,LABELER_ROTARY_JET_ROLLMATIC,11
378,L1 SONIC AIR KNIFE  - WEST,11
379,ALLIANCE- M15 MAIN INCLINE,11
380,L3 CODER_INKJET_LEIBINGER_JET_PRO_CAN #1,11
381,ILBM COOLING CHILLER,11
382,EMPTY CAN DECLINE VACUUM BLOWER,11
383,CAUSTIC CONTROL PANEL,11
384,ALLIANCE - EMPTY CAN AIRVEYOR,11
385,L1 FULL PALLET LABELING,11
386,L02 PALLET LABEL APPLICATOR,11
387,APS CONVEYOR SYSTEM,11
388,L2 LABEL_PRINTER_SPOT_APPL_PALLET_252,10
389,L2 INTELITEK - M12 180 TURN,10
390,CARBON TOWER #2 - WEST,10
391,L1 DOMINO LASER CAN CODER - WEST,10
392,WATER_SYS_RO,10
393,COND_EVAP_NH3_ATC-1708E_WEST,9
394,CARBON TOWER #1 AND #2,9
395,FILTERING_SYS_CO2,9
396,PUMP_CENT_SANIT_WATER_SYRUP_RM,9
397,MONTR_CO2,9
398,"CODER-LINE 3 TRINE EAST ""B""",9
399,RECYCLE_ELEC_CRUSH_CAN,9
400,TANK_STL_STOR_WATER,9
401,TANK_SS_BATCH_MIX_22,9
402,ALLIANCE - SINGLE FILER,9
403,ROGERS AIR COMPRESSOR (COMP #1),9
404,"L2 CODER TRINE - WEST ""B""",9
405,ALIQUOT BLOWMOLDER COOLING TOWER,9
406,L3 CODER_INKJET_LEIBINGER_JET_PRO_CAN #2,9
407,SANIT_CIP_SYS_SKID L3,8
408,CODER-LINE 3 DOUGLAS (EAST),8
409,PERMEATE TANK,8
410,L1 BAND CHIPPER,8
411,ANTI-SCALANT PANEL,8
412,LINE #2 PALLET LABELER,8
413,L3 ORION WRAPPER,8
414,CITY WATER CHLORINE ANALYZER,8
415,RO INLET CHLORINE,8
416,CASE CONVEYOR (SPIRAL SP-2),8
417,PACKR_CASE_INSERTION_DEVICE,8
418,MIXER_MB,8
419,PUMP_HYD_CARDBOAR_COMPACTOR,8
420,L2 BAND CHIPPER,8
421,CONV_ACCUM_TBL_EAST,8
422,CONV_MT_FULL_BTL_L3FBC1500,8
423,CIP #1 PUMP - P901,8
424,L1 RIVERWOOD GLUE UNIT,8
425,ALLIANCE FILLER DISCHARGE - M10,8
426,CHLLR_EVAP,8
427,PERMEATE TANK UV SYSTEM,7
428,L3 HT_EXCH_SHELLTB,7
429,PUMP_CENT_HOT_WATER_BUILDING,7
430,L3 HT_EXCH_SHELLTB_2,7
431,L3 HT_EXCH_SHELLTB_MUELLAR,7
432,NORTH CLEAVERBROOKS BOILER,7
433,LINE #3 PALLET LABELER,7
434,TANK_SS_STOR_SYRUP_5,7
435,L10 PALITIZER_T-TEK_WEST,7
436,L10 WRAPPER_STRETCH_LANTECH_WEST,7
